image_id,fname,growth_stage,date_captured,estimated_days_elapsed
207927,C11_L01_01_005_207927.jpg,생육기,2021-09-18 17:06:21,18
208039,C11_L01_01_005_208039.jpg,생육기,2021-09-18 19:06:21,18
144869,C11_L01_01_006_144869.jpg,정식기,2021-08-31 09:37:42,0
146468,C11_L01_01_006_146468.jpg,정식기,2021-09-03 16:06:21,3
146496,C11_L01_01_006_146496.jpg,정식기,2021-09-03 17:06:21,3
146580,C11_L01_01_006_146580.jpg,정식기,2021-09-03 20:06:21,3
146832,C11_L01_01_006_146832.jpg,정식기,2021-09-04 09:06:21,3
146860,C11_L01_01_006_146860.jpg,정식기,2021-09-04 10:06:21,4
146888,C11_L01_01_006_146888.jpg,정식기,2021-09-04 11:06:21,4
146916,C11_L01_01_006_146916.jpg,정식기,2021-09-04 12:06:21,4
146972,C11_L01_01_006_146972.jpg,정식기,2021-09-04 14:06:21,4
147028,C11_L01_01_006_147028.jpg,정식기,2021-09-04 16:06:21,4
147056,C11_L01_01_006_147056.jpg,정식기,2021-09-04 17:06:21,4
147140,C11_L01_01_006_147140.jpg,정식기,2021-09-04 20:06:21,4
147196,C11_L01_01_006_147196.jpg,정식기,2021-09-04 22:06:21,4
147420,C11_L01_01_006_147420.jpg,정식기,2021-09-05 10:06:21,5
147448,C11_L01_01_006_147448.jpg,정식기,2021-09-05 11:06:21,5
147476,C11_L01_01_006_147476.jpg,정식기,2021-09-05 12:06:21,5
147504,C11_L01_01_006_147504.jpg,정식기,2021-09-05 13:06:21,5
147560,C11_L01_01_006_147560.jpg,정식기,2021-09-05 15:06:21,5
147588,C11_L01_01_006_147588.jpg,정식기,2021-09-05 16:06:21,5
147616,C11_L01_01_006_147616.jpg,정식기,2021-09-05 17:06:21,5
147644,C11_L01_01_006_147644.jpg,정식기,2021-09-05 18:06:21,5
147672,C11_L01_01_006_147672.jpg,정식기,2021-09-05 19:06:21,5
147728,C11_L01_01_006_147728.jpg,정식기,2021-09-05 21:06:21,5
156879,C11_L01_01_006_156879.jpg,정식기,2021-09-05 22:06:21,5
157131,C11_L01_01_006_157131.jpg,생육기,2021-09-06 09:06:21,5
157167,C11_L01_01_006_157167.jpg,생육기,2021-09-06 10:06:21,6
157247,C11_L01_01_006_157247.jpg,생육기,2021-09-06 12:06:21,6
157299,C11_L01_01_006_157299.jpg,생육기,2021-09-06 13:06:21,6
157403,C11_L01_01_006_157403.jpg,생육기,2021-09-06 15:06:21,6
157507,C11_L01_01_006_157507.jpg,생육기,2021-09-06 17:06:21,6
157562,C11_L01_01_006_157562.jpg,생육기,2021-09-06 18:06:21,6
157710,C11_L01_01_006_157710.jpg,생육기,2021-09-06 21:06:21,6
157762,C11_L01_01_006_157762.jpg,생육기,2021-09-06 22:06:21,6
158134,C11_L01_01_006_158134.jpg,생육기,2021-09-07 09:06:21,6
158186,C11_L01_01_006_158186.jpg,생육기,2021-09-07 10:06:21,7
158334,C11_L01_01_006_158334.jpg,생육기,2021-09-07 13:06:21,7
158386,C11_L01_01_006_158386.jpg,생육기,2021-09-07 14:06:21,7
158438,C11_L01_01_006_158438.jpg,생육기,2021-09-07 15:06:21,7
158490,C11_L01_01_006_158490.jpg,생육기,2021-09-07 16:06:21,7
159226,C11_L01_01_006_159226.jpg,생육기,2021-09-08 10:06:21,8
159278,C11_L01_01_006_159278.jpg,생육기,2021-09-08 11:06:21,8
164746,C11_L01_01_006_164746.jpg,생육기,2021-09-08 12:06:21,8
164798,C11_L01_01_006_164798.jpg,생육기,2021-09-08 13:06:21,8
164850,C11_L01_01_006_164850.jpg,생육기,2021-09-08 14:06:21,8
164902,C11_L01_01_006_164902.jpg,생육기,2021-09-08 15:06:21,8
164954,C11_L01_01_006_164954.jpg,생육기,2021-09-08 16:06:21,8
165006,C11_L01_01_006_165006.jpg,생육기,2021-09-08 17:06:21,8
165050,C11_L01_01_006_165050.jpg,생육기,2021-09-08 18:06:21,8
165102,C11_L01_01_006_165102.jpg,생육기,2021-09-08 19:06:21,8
165242,C11_L01_01_006_165242.jpg,생육기,2021-09-08 22:06:21,8
197399,C11_L01_01_006_197399.jpg,생육기,2021-09-09 10:06:21,9
197655,C11_L01_01_006_197655.jpg,생육기,2021-09-09 14:06:21,9
197719,C11_L01_01_006_197719.jpg,생육기,2021-09-09 15:06:21,9
